Campaign: GainFrame - Discovery Keywords (ID: 2143510307)
"Start Date: Feb 16, 2026"
"End Date: May 10, 2026"
Currency: USD
Time Zone: UTC
""

Period Start,Period Final,Spend,Avg CPA (Total),Average CPT,Avg CPM,Impressions,Taps,Installs (Total),TTR,CR (Total),CR (Tap-Through),New Downloads (Total),Redownloads (Total),Installs (View-Through),Installs (Tap-Through),Avg CPA (Tap-Through),New Downloads (View-Through),Redownloads (View-Through),New Downloads (Tap-Through),Redownloads (Tap-Through),Pre-Orders Placed (Tap-Through),Pre-Orders Placed (View-Through),Pre-Orders Placed (Total)
"Feb 16, 2026","Feb 22, 2026","0.00","0.00","0.00","0.00","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"Feb 23, 2026","Mar 01, 2026","0.00","0.00","0.00","0.00","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"Mar 02, 2026","Mar 08, 2026","0.00","0.00","0.00","0.00","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"Mar 09, 2026","Mar 15, 2026","0.26","0.26","0.13","12.23","21","2","1","0.0952","0.5","0.0","1","0","1","0","0.00","1","0","0","0","0","0","0"
"Mar 16, 2026","Mar 22, 2026","8.89","2.22","0.59","7.55","1178","15","4","0.0127","0.2667","0.1333","4","0","2","2","4.45","2","0","2","0","0","0","0"
"Mar 23, 2026","Mar 29, 2026","32.78","8.20","0.86","8.35","3927","38","4","0.0097","0.1053","0.0789","4","0","1","3","10.93","1","0","3","0","0","0","0"
"Mar 30, 2026","Apr 05, 2026","69.26","4.33","1.02","12.96","5343","68","16","0.0127","0.2353","0.1324","16","0","7","9","7.70","7","0","9","0","0","0","0"
"Apr 06, 2026","Apr 12, 2026","66.19","8.27","0.79","8.54","7748","84","8","0.0108","0.0952","0.0952","8","0","0","8","8.27","0","0","8","0","0","0","0"
"Apr 13, 2026","Apr 19, 2026","153.04","4.25","1.18","16.48","9288","130","36","0.014","0.2769","0.1692","35","1","14","22","6.96","14","0","21","1","0","0","0"
"Apr 20, 2026","Apr 26, 2026","31.79","3.18","0.84","11.91","2668","38","10","0.0142","0.2632","0.1842","10","0","3","7","4.54","3","0","7","0","0","0","0"
"Apr 27, 2026","May 03, 2026","383.13","6.61","1.42","28.06","13652","269","58","0.0197","0.2156","0.2007","58","0","4","54","7.09","4","0","54","0","0","0","0"
"May 04, 2026","May 10, 2026","1184.95","6.14","1.70","33.18","35710","696","193","0.0195","0.2773","0.2414","189","4","25","168","7.05","24","1","165","3","0","0","0"
"May 11, 2026","May 17, 2026","0.00","0.00","0.00","0.00","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
