Campaign: GainFrame - Discovery Keywords (ID: 2143510307)
Ad Group: Automated (ID: 2147000076)
"Start Date: Mar 21, 2026"
"End Date: May 27, 2026"
Currency: USD
Time Zone: America/New_York
""

Search Term,Match Source,Keyword,Match Type,Ad Group ID,Ad Group Name,Default CPT Bid,Spend,Avg CPA (Total),Average CPT,Avg CPM,Avg Daily Spend,Impressions,Taps,Installs (Total),TTR,CR (Total),CR (Tap-Through),New Downloads (Total),Redownloads (Total),Installs (View-Through),Installs (Tap-Through),Avg CPA (Tap-Through),New Downloads (View-Through),Redownloads (View-Through),New Downloads (Tap-Through),Redownloads (Tap-Through),Pre-Orders Placed (Tap-Through),Pre-Orders Placed (View-Through),Pre-Orders Placed (Total)
"LOW_VOLUME","Keyword","body fat calculator","EXACT","2147000075","Core Keywords - Exact","0.56","69.86","4.11","2.05","","","281","34","17","0.121","0.5","0.5","16","1","0","17","4.11","0","0","16","1","0","0","0"
"LOW_VOLUME","Keyword","progress photo","EXACT","2147000075","Core Keywords - Exact","0.56","6.28","0.00","3.14","","","38","2","0","0.0526","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"LOW_VOLUME","Keyword","progress pics","EXACT","2147000075","Core Keywords - Exact","0.56","8.39","2.10","1.20","","","31","7","4","0.2258","0.5714","0.5714","4","0","0","4","2.10","0","0","4","0","0","0","0"
"LOW_VOLUME","Search Match","","AUTO","2147000076","Automated","","1706.52","6.03","1.49","","","71752","1147","283","0.016","0.2467","0.1901","281","2","65","218","7.83","64","1","217","1","0","0","0"
"LOW_VOLUME","Keyword","fitness transformation","EXACT","2147000075","Core Keywords - Exact","0.56","0.05","0.00","0.05","","","2","1","0","0.5","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"LOW_VOLUME","Keyword","workout progress","EXACT","2147000075","Core Keywords - Exact","0.56","0.00","0.00","0.00","","","2","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"LOW_VOLUME","Keyword","physique tracker","EXACT","2147000075","Core Keywords - Exact","0.56","1.74","0.29","0.13","","","63","13","6","0.2063","0.4615","0.4615","6","0","0","6","0.29","0","0","6","0","0","0","0"
"LOW_VOLUME","Keyword","body fat estimator","EXACT","2147000075","Core Keywords - Exact","0.56","0.10","0.10","0.05","","","3","2","1","0.6667","0.5","0.5","0","1","0","1","0.10","0","0","0","1","0","0","0"
"LOW_VOLUME","Keyword","body composition","EXACT","2147000075","Core Keywords - Exact","0.56","7.23","3.61","1.45","","","40","5","2","0.125","0.4","0.4","2","0","0","2","3.61","0","0","2","0","0","0","0"
"LOW_VOLUME","Keyword","before and after photos","EXACT","2147000075","Core Keywords - Exact","0.56","0.00","0.00","0.00","","","6","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"LOW_VOLUME","Keyword","fitness progress photos","EXACT","2147000075","Core Keywords - Exact","0.56","0.00","0.00","0.00","","","7","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"LOW_VOLUME","Keyword","body fat tracker","EXACT","2147000075","Core Keywords - Exact","0.56","6.95","6.95","2.32","","","34","3","1","0.0882","0.3333","0.3333","1","0","0","1","6.95","0","0","1","0","0","0","0"
"LOW_VOLUME","Keyword","gym progress tracker","EXACT","2147000075","Core Keywords - Exact","0.56","73.67","8.19","3.35","","","145","22","9","0.1517","0.4091","0.4091","9","0","0","9","8.19","0","0","9","0","0","0","0"
"LOW_VOLUME","Keyword","body transformation app","EXACT","2147000075","Core Keywords - Exact","0.56","1.82","1.82","1.82","","","1","1","1","1.0","1.0","1.0","1","0","0","1","1.82","0","0","1","0","0","0","0"
"LOW_VOLUME","Keyword","progress photos","EXACT","2147000075","Core Keywords - Exact","0.56","7.34","3.67","3.67","","","35","2","2","0.0571","1.0","0.5","2","0","1","1","7.34","1","0","1","0","0","0","0"
"LOW_VOLUME","Keyword","body fat app","EXACT","2147000075","Core Keywords - Exact","0.56","63.18","4.51","2.53","","","181","25","14","0.1381","0.56","0.56","13","1","0","14","4.51","0","0","13","1","0","0","0"
"LOW_VOLUME","Keyword","body fat photo","EXACT","2147000075","Core Keywords - Exact","0.56","0.00","0.00","0.00","","","1","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"LOW_VOLUME","Keyword","body fat scanner","EXACT","2147000075","Core Keywords - Exact","0.56","22.35","4.47","1.72","","","100","13","5","0.13","0.3846","0.3846","5","0","0","5","4.47","0","0","5","0","0","0","0"
"LOW_VOLUME","Keyword","body scanner app","EXACT","2147000075","Core Keywords - Exact","0.56","19.00","6.33","2.37","","","76","8","3","0.1053","0.375","0.375","3","0","0","3","6.33","0","0","3","0","0","0","0"
"LOW_VOLUME","Keyword","ai physique analysis","EXACT","2147000075","Core Keywords - Exact","0.56","0.00","0.00","0.00","","","1","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"LOW_VOLUME","Keyword","ai body fat","EXACT","2147000075","Core Keywords - Exact","0.56","1.19","0.00","1.19","","","8","1","0","0.125","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"LOW_VOLUME","Keyword","ai body scanner","EXACT","2147000075","Core Keywords - Exact","0.56","20.30","10.15","2.03","","","72","10","2","0.1389","0.2","0.2","2","0","0","2","10.15","0","0","2","0","0","0","0"
"200 degrees","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"67 counter","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","26","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"67 speed","Search Match","","AUTO","2147000076","Automated","","0.93","0.00","0.47","","","94","2","0","0.0213","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"abler","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","20","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"abyx fit","Search Match","","AUTO","2147000076","Automated","","2.08","0.00","1.04","","","47","2","0","0.0426","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"act","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","93","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"actif","Search Match","","AUTO","2147000076","Automated","","1.27","0.00","1.27","","","10","1","0","0.1","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"activ dos","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","10","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"activ fitness","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","17","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"active","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"activ’dos","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","30","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"alim confiance gouv","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","22","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"alterme","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","32","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"alterneo","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","18","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"aluratek smart frame","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","19","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"ampersand","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","180","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"ansar gallery","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","11","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"anycubic","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","29","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"apex fit watch","Search Match","","AUTO","2147000076","Automated","","9.41","0.00","1.18","","","131","8","0","0.0611","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"apnee assist","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","20","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"appetite","Search Match","","AUTO","2147000076","Automated","","1.13","0.00","1.13","","","59","1","0","0.0169","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"art workout","Search Match","","AUTO","2147000076","Automated","","1.56","0.00","1.56","","","40","1","0","0.025","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"ascenti physio","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","28","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"asiflex","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","21","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"assist planner","Search Match","","AUTO","2147000076","Automated","","1.04","0.00","1.04","","","49","1","0","0.0204","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"assura","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","44","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"athlete one","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","10","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"atletica","Search Match","","AUTO","2147000076","Automated","","2.91","2.91","0.97","","","254","3","1","0.0118","0.3333","0.3333","1","0","0","1","2.91","0","0","1","0","0","0","0"
"atnt","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"aura training club","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","10","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"avm venezia official app","Search Match","","AUTO","2147000076","Automated","","1.82","0.00","1.82","","","16","1","0","0.0625","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"awg mode","Search Match","","AUTO","2147000076","Automated","","0.58","0.00","0.58","","","161","1","0","0.0062","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"b4ufly","Search Match","","AUTO","2147000076","Automated","","0.80","0.00","0.80","","","22","1","0","0.0455","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"be aware gym","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","13","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"bell","Search Match","","AUTO","2147000076","Automated","","0.73","0.00","0.73","","","171","1","0","0.0058","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"better blend","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","28","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"better impact","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","38","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"bifrosha","Search Match","","AUTO","2147000076","Automated","","0.77","0.00","0.77","","","50","1","0","0.02","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"bike to work","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","11","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"bistrainer","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","27","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"blueparrott","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","36","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"body alive","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","27","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"body charge","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","13","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"body energy club","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","59","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"body fat calculator","Keyword","body fat calculator","EXACT","2147000075","Core Keywords - Exact","0.56","8.29","8.29","2.77","","","59","3","1","0.0508","0.3333","0.3333","1","0","0","1","8.29","0","0","1","0","0","0","0"
"body fat scanner","Keyword","body fat scanner","EXACT","2147000075","Core Keywords - Exact","0.56","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"body2brain","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"bodyhit","Search Match","","AUTO","2147000076","Automated","","1.07","0.00","1.07","","","62","1","0","0.0161","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"bodypedia","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"bodytime","Search Match","","AUTO","2147000076","Automated","","1.10","0.00","0.55","","","87","2","0","0.023","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"brampton rec","Search Match","","AUTO","2147000076","Automated","","1.30","0.00","0.65","","","116","2","0","0.0172","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"brampton recreation","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","12","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"brickly scan","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","16","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"brighton marathon 2026","Search Match","","AUTO","2147000076","Automated","","0.50","0.00","0.50","","","91","1","0","0.011","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"bulky","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","35","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"buzz gym","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","37","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"caroline girvan","Search Match","","AUTO","2147000076","Automated","","0.00","0.00","0.00","","","63","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"casper health","Search Match","","AUTO","2147000076","Automated","","1.26","0.00","1.26","","","10","1","0","0.1","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
