date,sitewide_google_clicks
2026-06-17,27
2026-06-18,35
2026-06-19,32
2026-06-20,45
2026-06-21,49
2026-06-22,48
2026-06-23,55
2026-06-24,68
2026-06-25,52
2026-06-26,59
2026-06-27,73
2026-06-28,93
2026-06-29,91
2026-06-30,108
2026-07-01,95
2026-07-02,93
2026-07-03,97
2026-07-04,85
2026-07-05,140
2026-07-06,173
2026-07-07,131
2026-07-08,186
2026-07-09,162
2026-07-10,160
2026-07-11,151
2026-07-12,186
2026-07-13,191
2026-07-14,186
2026-07-15,181
2026-07-16,244
2026-07-17,226
2026-07-18,228
2026-07-19,269
2026-07-20,255
2026-07-21,247
2026-07-22,252
2026-07-23,296
2026-07-24,234
2026-07-25,217
2026-07-26,267
2026-07-27,299
2026-07-28,264
2026-07-29,265
2026-07-30,281
2026-07-31,255
2026-08-01,277
2026-08-02,296
2026-08-03,356
2026-08-04,400
2026-08-05,348
2026-08-06,374
2026-08-07,346
2026-08-08,400
2026-08-09,448
2026-08-10,435
2026-08-11,380
2026-08-12,399
2026-08-13,480
2026-08-14,409
2026-08-15,452
2026-08-16,587
2026-08-17,542
2026-08-18,604
2026-08-19,705
2026-08-20,674
2026-08-21,687
2026-08-22,729
2026-08-23,795
2026-08-24,896
2026-08-25,787
2026-08-26,792
2026-08-27,845
2026-08-28,829
2026-08-29,805
2026-08-30,866
2026-08-31,939
2026-09-01,890
2026-09-02,915
2026-09-03,942
2026-09-04,982
2026-09-05,915
2026-09-06,1043
2026-09-07,1065
2026-09-08,1071
2026-09-09,1329
2026-09-10,1339
2026-09-11,1279
2026-09-12,1477
2026-09-13,1598
