ISOWeek	WeekStart	newUsers	activeUsers	sessions	engagementRate
09	2026-02-23	56	58	66	0.26
10	2026-03-02	309	314	384	0.35
11	2026-03-09	1420	1426	1555	0.19   # ANOMALY: low engagement, likely bot/junk spike
12	2026-03-16	190	199	250	0.37
13	2026-03-23	164	174	217	0.35
14	2026-03-30	239	248	290	0.39
15	2026-04-06	262	272	357	0.43
16	2026-04-13	209	213	260	0.35
17	2026-04-20	340	354	402	0.35
18	2026-04-27	377	388	512	0.49
19	2026-05-04	402	406	490	0.41
20	2026-05-11	402	412	476	0.34
21	2026-05-18	348	354	402	0.35
22	2026-05-25	261	266	321	0.33   # partial week
