WeekStart	MRR	ActiveSubs	NewCustomers	TrialStarts	TrialConvRate%	Conv2Paying7d%	ChurnRate%	LTV_per_payer
2026-03-22	87.61	24	122	14	35.71	4.10	0.0	8.56
2026-03-29	131.45	33	163	23	43.48	6.13	0.0	20.04
2026-04-05	179.83	44	117	15	20.00	6.84	12.12	23.35
2026-04-12	226.92	52	135	24	13.64	4.44	0.0	23.49
2026-04-19	277.15	60	145	16	22.22	5.52	1.92	21.14
2026-04-26	357.67	74	177	13	7.69	6.21	3.33	13.69
2026-05-03	474.82	91	387	43	10.81	5.94	8.11	16.49
2026-05-10	578.55	109	366	25	25.00	4.37	1.10	17.99
2026-05-17	603.16	117	157	20	12.50	3.18	4.59	13.22
2026-05-24	634.17	122	104	19	0.00(pending)	4.81	2.56	6.41
