landingPagePlusQueryString	pageTitle	sessions	newUsers	engagedSessions	screenPageViews
/	GainFrame - The AI Body Composition App for Gym Goers	392	296	186	456
/blog/best-ai-body-fat-apps/	5 Best AI Body Fat Apps in 2026 (Tested & Ranked) | GainFrame	146	134	80	167
/blog/ai-body-fat-photo-accuracy-study/	Is AI Body Fat Analysis Accurate? A 2025 Study Says Yes | GainFrame	73	70	38	78
/blog/best-body-transformation-apps/	7 Best Body Transformation Apps in 2026 (Ranked & Compared) | GainFrame	67	64	39	74
/blog/body-fat-percentage-chart/	Body Fat Percentage Chart with Photos: Visual Guide for Men & Women | GainFrame	61	61	20	63
/blog/ai-body-editor-apps-vs-real-analysis/	5 Best AI Body Editor Apps 2026 (+ the Honest Alternative) | GainFrame	57	51	21	58
/blog/resistance-training-guidelines/	ACSM Resistance Training Guidelines (2025): Sets, Reps & Frequency Explained | GainFrame	39	37	15	41
/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	33	0	33	40
/blog/best-ai-body-fat-apps/	GainFrame - The AI Body Composition App for Gym Goers	33	0	33	47
/blog/best-body-composition-apps/	Best Body Composition Apps for Tracking Progress (2026): Spren, GainFrame, ZOZOFIT & More | GainFrame	32	31	8	33
/blog/visceral-fat-level/	Visceral Fat Level: What Your Number Means and What's Healthy | GainFrame	30	29	8	32
/blog/best-ai-fitness-apps-track-body/	Best AI Fitness Apps That Track Your Body in 2026 (Not Just Your Workout) | GainFrame	26	26	3	26
/blog/best-ai-personal-trainer-apps/	Best AI Personal Trainer Apps in 2026 (and the App That Tracks If They're Actually Working) | GainFrame	23	19	6	28
/blog/best-ai-body-composition-app/	Best AI Body Scan & Body Composition App in 2026: Full Comparison | GainFrame	22	20	8	23
/	GainFrame Comics — Science-Backed Gym Tips & Fitness Education | GainFrame	21	0	21	33
/tools/	Free Fitness Calculators — Body Fat, TDEE & Macros | GainFrame	21	16	15	33
/tools/body-fat-from-photo/	Free AI Body Fat Estimator from a Photo | GainFrame	21	13	13	33
(not set)	GainFrame - The AI Body Composition App for Gym Goers	18	0	0	0
/	Free AI Body Fat Estimator from a Photo | GainFrame	18	0	18	25
/blog/every-way-to-measure-body-fat/	Best Ways to Measure Body Fat in 2026 (Accuracy Comparison) | GainFrame	18	18	2	18
/blog/visceral-fat-test/	How to Test for Visceral Fat: Every Method Ranked | GainFrame	16	16	3	16
/tools/body-fat-visualizer/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	16	15	5	18
/blog/ai-body-fat-photo-accuracy-study/	Free AI Body Fat Estimator from a Photo | GainFrame	15	0	15	30
/	About GainFrame — The Progress Photo App Built by Someone Who Needed It | GainFrame	13	0	13	20
/blog/visceral-fat-app/	Best Visceral Fat Tracking Apps in 2026 (And What They Can Actually Measure) | GainFrame	13	11	3	14
/blog/best-body-transformation-apps/	GainFrame - The AI Body Composition App for Gym Goers	12	0	12	13
/blog/best-progress-photo-apps/	Best Progress Photo Apps for 2026: 5 Options Reviewed | GainFrame	12	12	5	12
/blog/spren-app-review/	Spren App Review 2026: Accuracy, Cost & Who It's Actually For | GainFrame	12	11	3	12
/	GainFrame Blog — AI Progress Photos, Body Composition & Training Tips | GainFrame	11	0	11	14
