WeekStart	newUsers	activeUsers	sessions	engagedSessions	engagementRate	screenPageViews	eventCount
2026-03-08	284	288	295	18	0.061016949152542375	315	944
2026-03-15	190	209	251	92	0.3665338645418327	417	1161
2026-03-22	164	180	217	77	0.3548387096774194	276	856
2026-03-29	239	255	290	114	0.3931034482758621	414	1235
2026-04-05	262	287	358	154	0.4301675977653631	666	1751
2026-04-12	209	221	260	90	0.34615384615384615	388	1054
2026-04-19	340	364	419	174	0.4152744630071599	751	2022
2026-04-26	377	416	516	254	0.49224806201550386	1120	2970
2026-05-03	402	418	492	204	0.4146341463414634	746	2173
2026-05-10	402	418	475	162	0.3410526315789474	649	1932
2026-05-17	348	362	401	140	0.3491271820448878	533	1624
2026-05-24	313	323	381	136	0.3569553805774278	481	1532
2026-05-31	444	458	511	209	0.4090019569471624	754	2315
2026-06-07	350	365	412	178	0.4320388349514563	648	1930
