WeekStart	clicks	impressions	ctr	position
2026-03-08	5	345	0.014492753623188406	11.23768115942029
2026-03-15	41	3276	0.012515262515262516	9.811660561660561
2026-03-22	45	3831	0.011746280344557557	8.262072565909683
2026-03-29	50	3950	0.012658227848101266	8.335443037974683
2026-04-05	29	3211	0.00903145437558393	12.705387729679227
2026-04-12	66	3749	0.017604694585222725	9.105628167511336
2026-04-19	91	7288	0.012486278814489571	7.675082327113063
2026-04-26	125	7809	0.01600717121270329	8.032398514534512
2026-05-03	151	6985	0.021617752326413744	8.051539012168934
2026-05-10	69	5842	0.011811023622047244	12.435809654228004
2026-05-17	64	3229	0.019820377825952307	17.296995973985755
2026-05-24	96	6014	0.015962753574991686	10.118556701030927
2026-05-31	201	9178	0.021900196121159295	8.318587927653084
2026-06-07	94	4067	0.023112859601671993	9.856405212687484
