date	newUsers	activeUsers	sessions	engagedSessions	engagementRate	screenPageViews	eventCount
2026-07-02	1950	1956	2007	237	0.11808669656203288	2182	6576
2026-07-05	633	681	780	416	0.5333333333333333	1133	3448
2026-07-10	616	659	780	318	0.4076923076923077	1097	3342
2026-07-16	593	634	747	361	0.48326639892904955	1130	3642
2026-07-04	556	566	626	159	0.2539936102236422	796	2400
2026-08-02	530	581	671	6	0.00894187779433681	1047	3560
2026-07-29	494	514	595	252	0.4235294117647059	876	3069
2026-07-17	483	501	589	296	0.5025466893039049	938	3181
2026-07-06	470	517	622	318	0.5112540192926045	907	2819
2026-07-23	457	476	570	315	0.5526315789473685	985	3341
2026-07-31	418	441	526	301	0.5722433460076045	892	3143
2026-08-01	401	419	515	274	0.5320388349514563	839	2865
2026-07-26	397	410	492	258	0.524390243902439	828	2989
2026-07-20	395	422	500	258	0.516	793	2703
2026-07-22	386	399	480	250	0.5208333333333334	811	2764
2026-07-30	382	405	483	256	0.5300207039337475	784	2738
2026-07-25	377	397	450	182	0.40444444444444444	635	2201
2026-07-21	372	382	471	258	0.5477707006369427	846	2918
2026-07-27	372	394	473	258	0.5454545454545454	752	2691
2026-07-19	371	386	462	232	0.5021645021645021	773	2697
2026-06-28	368	389	435	208	0.4781609195402299	677	2034
2026-07-24	366	372	434	227	0.5230414746543779	698	2444
2026-07-13	364	384	467	228	0.48822269807280516	721	2349
2026-07-12	355	397	497	256	0.5150905432595574	773	2435
2026-07-14	349	373	467	233	0.4989293361884368	668	2207
2026-07-28	349	358	435	233	0.535632183908046	691	2562
2026-07-08	346	374	460	215	0.4673913043478261	661	2165
2026-07-07	322	352	449	212	0.47216035634743875	655	2068
2026-07-18	321	351	427	230	0.5386416861826698	685	2369
2026-07-15	310	336	410	209	0.5097560975609756	709	2365
2026-07-11	307	320	388	165	0.4252577319587629	553	1797
2026-06-24	293	302	343	127	0.37026239067055394	481	1433
2026-06-23	290	298	323	128	0.39628482972136225	440	1362
2026-07-09	274	293	351	171	0.48717948717948717	519	1660
2026-07-03	248	263	314	151	0.48089171974522293	460	1473
2026-06-27	237	250	283	138	0.4876325088339223	391	1268
2026-06-29	227	237	298	132	0.4429530201342282	402	1266
2026-06-30	224	236	296	133	0.44932432432432434	447	1405
2026-06-25	200	206	231	91	0.3939393939393939	346	1047
2026-07-01	154	167	207	99	0.4782608695652174	337	1067
2026-06-22	128	134	150	60	0.4	213	667
2026-06-26	126	134	151	59	0.39072847682119205	196	627
2026-06-14	96	100	107	36	0.3364485981308411	121	414
2026-06-11	93	95	101	40	0.39603960396039606	124	417
2026-06-12	92	93	102	26	0.2549019607843137	120	408
2026-06-20	90	94	100	39	0.39	138	460
2026-06-18	77	81	93	42	0.45161290322580644	122	429
2026-06-13	76	77	89	39	0.43820224719101125	119	399
2026-06-01	73	73	81	31	0.38271604938271603	141	444
2026-06-06	73	75	83	35	0.42168674698795183	119	341
2026-06-21	72	74	96	35	0.3645833333333333	132	411
2026-06-08	71	72	78	37	0.47435897435897434	121	344
2026-05-13	70	71	85	27	0.3176470588235294	108	337
2026-06-15	69	75	88	34	0.38636363636363635	121	383
2026-05-19	68	68	74	29	0.3918918918918919	118	322
2026-06-05	67	69	79	30	0.379746835443038	97	298
2026-06-16	67	68	80	35	0.4375	90	303
2026-06-10	66	71	90	39	0.43333333333333335	156	475
2026-05-11	63	71	83	36	0.43373493975903615	150	372
2026-06-04	63	65	74	35	0.47297297297297297	111	351
2026-06-17	63	67	78	32	0.41025641025641024	101	335
2026-06-19	62	64	78	25	0.32051282051282054	103	323
2026-05-15	61	63	74	28	0.3783783783783784	96	292
2026-05-18	61	62	66	27	0.4090909090909091	87	283
2026-06-07	61	62	70	25	0.35714285714285715	79	250
2026-05-08	60	62	71	34	0.4788732394366197	105	318
2026-05-07	59	61	71	40	0.5633802816901409	113	365
2026-05-09	59	62	66	34	0.5151515151515151	100	299
2026-05-31	59	60	67	25	0.373134328358209	99	306
2026-06-09	59	65	73	37	0.5068493150684932	168	444
2026-06-03	58	62	66	25	0.3787878787878788	87	276
2026-05-16	56	56	58	12	0.20689655172413793	63	203
2026-05-12	54	55	64	25	0.390625	87	276
2026-05-14	53	55	60	19	0.31666666666666665	78	245
2026-05-27	52	55	64	19	0.296875	77	230
2026-06-02	51	54	61	28	0.45901639344262296	100	299
2026-05-05	49	50	61	14	0.22950819672131148	83	225
2026-05-20	48	54	63	29	0.4603174603174603	97	280
2026-05-24	48	49	58	23	0.39655172413793105	80	244
2026-05-17	47	47	55	15	0.2727272727272727	58	203
2026-05-22	47	49	51	19	0.37254901960784315	67	211
2026-05-29	46	48	56	13	0.23214285714285715	58	189
2026-05-10	45	47	51	15	0.29411764705882354	67	207
2026-05-25	44	45	56	24	0.42857142857142855	74	249
2026-05-06	42	44	58	30	0.5172413793103449	120	289
2026-05-26	42	43	54	19	0.35185185185185186	65	212
2026-05-28	41	42	48	21	0.4375	72	213
2026-05-30	40	41	45	17	0.37777777777777777	55	195
2026-05-21	39	42	46	13	0.2826086956521739	57	173
2026-05-23	38	40	46	8	0.17391304347826086	49	152
