landingPagePlusQueryString	pageTitle	recent_sessions	prior_sessions	sessions_delta	recent_newUsers	prior_newUsers	newUsers_delta	recent_engagedSessions	prior_engagedSessions
/tools/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	118	0	118	95	0	95	39	0
/tools/body-fat-visualizer/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	159	95	64	124	85	39	86	62
	Free AI Body Fat Estimator from a Photo | GainFrame	55	0	55	0	0	0	0	0
/blog/1500-mrr-better-problems/	I Thought $1,500 MRR Meant I’d Figured It Out. It Just Gave Me Better Problems. | GainFrame	53	0	53	42	0	42	1	0
/blog/ideal-body-measurements-men/	Ideal Body Measurements for Men: The Classic Proportions Chart | GainFrame	89	39	50	84	37	47	45	15
/blog/shoulder-to-waist-ratio/	Shoulder to Waist Ratio: The V-Taper Math (and How to Actually Improve Yours) | GainFrame	60	13	47	53	12	41	14	2
/tools/physique-rater/	Rate My Physique — Free AI Body Rater From One Photo | GainFrame	42	0	42	36	0	36	21	0
/blog/best-body-scanning-measurement-apps/	6 Best Body Scanning & Measurement Apps in 2026 (Tested) | GainFrame	138	104	34	124	91	33	61	49
/	Free AI Body Fat Estimator from a Photo | GainFrame	63	30	33	0	0	0	55	29
/blog/best-body-transformation-apps/	7 Best Body Transformation Apps in 2026 (Ranked & Compared) | GainFrame	95	64	31	82	61	21	42	37
	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	26	0	26	0	0	0	0	0
	Progress photos that explain what changed | GainFrame	24	0	24	0	0	0	0	0
/blog/average-chest-size/	Average Chest Size for Men: By Height, Training Level & What Counts as Big | GainFrame	38	16	22	26	16	10	15	9
/blog/best-ai-body-fat-apps/	Free AI Body Fat Estimator from a Photo | GainFrame	42	20	22	0	0	0	37	20
/blog/best-ai-body-fat-apps/	5 Best AI Body Fat Estimator Apps in 2026 (Tested & Ranked) | GainFrame	172	151	21	138	135	3	97	90
/tools/physique-rater/	AI Physique Rater — Rate My Physique From a Photo, Free | GainFrame	23	2	21	22	2	20	21	2
/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	20	0	20	4	0	4	12	0
/blog/body-fat-visible-jawline-men/	Body Fat % for a Visible Jawline (Men): Targets by Face Type | GainFrame	41	21	20	39	18	21	20	13
	I Thought $1,500 MRR Meant I’d Figured It Out. It Just Gave Me Better Problems. | GainFrame	18	0	18	0	0	0	0	0
/blog/ai-body-editor-apps-vs-real-analysis/	5 Best AI Body Editor Apps 2026 (+ the Honest Alternative) | GainFrame	66	48	18	60	45	15	32	22
/blog/best-ai-body-fat-apps/	Progress photos that explain what changed | GainFrame	44	26	18	1	0	1	36	26
	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	17	0	17	0	0	0	0	0
/tools/body-fat-from-photo/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	17	0	17	4	0	4	12	0
/tools/body-fat-estimator/	Body Fat Percentage Calculator — Free Estimate | GainFrame	16	0	16	1	0	1	6	0
	Rate My Physique — Free AI Body Rater From One Photo | GainFrame	15	0	15	0	0	0	0	0
/tools/body-fat-from-photo/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	15	0	15	0	0	0	13	0
/	I Thought $1,500 MRR Meant I’d Figured It Out. It Just Gave Me Better Problems. | GainFrame	14	0	14	11	0	11	0	0
/blog/body-fat-from-photo-app/	How to Calculate Body Fat From a Photo Using AI (2026 Guide) | GainFrame	25	11	14	21	11	10	10	6
/blog/dexa-scan-alternative/	DEXA Scan Alternative: 6 Options Ranked by Cost, Accuracy & Convenience | GainFrame	18	5	13	18	5	13	11	3
/blog/rate-my-physique/	Rate My Physique: How to Get an Honest Assessment | GainFrame	19	6	13	19	5	14	11	1
/blog/skinny-fat-to-muscular/	Skinny Fat to Muscular: The Recomp Playbook (and How to Track It) | GainFrame	20	7	13	16	7	9	4	2
/tools/ai-body-transformation/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	13	0	13	5	0	5	5	0
/blog/best-ai-body-fat-apps/	Free Body Fat Calculators — AI Photo Scan & Visualizer | GainFrame	11	0	11	0	0	0	11	0
/blog/best-ai-personal-trainer-apps/	Best AI Personal Trainer Apps in 2026 (and the App That Tracks If They're Actually Working) | GainFrame	37	26	11	32	25	7	16	12
/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	10	0	10	0	0	0	10	0
/blog/average-waist-size-men/	Average Waist Size for Men: By Age, Height & What It Means | GainFrame	66	56	10	59	53	6	24	31
/blog/chest-to-waist-ratio/	Chest-to-Waist Ratio: The Other V-Taper Number | GainFrame	25	15	10	19	15	4	13	9
/blog/1500-mrr-better-problems/	Progress photos that explain what changed | GainFrame	9	0	9	0	0	0	0	0
/blog/average-forearm-size/	Average Forearm Size: Charts by Height & What Builds Them | GainFrame	15	6	9	12	6	6	4	4
/blog/ffmi-chart/	FFMI Chart: Where Do You Actually Fall? (Men & Women) | GainFrame	21	12	9	12	11	1	3	5
/blog/natty-limit/	Natty Limit: How Big Can You Get Naturally? (With Real Numbers) | GainFrame	17	8	9	12	8	4	3	1
/blog/ai-body-fat-photo-accuracy-study/	How Accurate Is AI Body Fat From Photos? A 1,273-Person DEXA Study | GainFrame	33	25	8	25	25	0	13	17
/comics/	Fitness Comics — Gym, Nutrition & Training Myths Illustrated | GainFrame	14	6	8	5	4	1	6	3
/tools/body-fat-from-photo/	Progress photos that explain what changed | GainFrame	13	5	8	9	0	9	2	5
/tools/body-fat-visualizer/	Free AI Body Fat Estimator from a Photo | GainFrame	13	5	8	5	0	5	0	5
/blog/best-body-composition-scales/	6 Best Body Composition Scales in 2026 (Ranked by What You Get) | GainFrame	13	6	7	13	4	9	5	2
/blog/why-do-abs-only-show-when-flexing/	Why Your Abs Only Show When You Flex (and What Changes That) | GainFrame	10	3	7	8	2	6	6	1
/comics/	Progress photos that explain what changed | GainFrame	7	0	7	1	0	1	3	0
/tools/	I Thought $1,500 MRR Meant I’d Figured It Out. It Just Gave Me Better Problems. | GainFrame	7	0	7	3	0	3	0	0
/tools/body-fat-from-photo/	5 Best AI Body Fat Estimator Apps in 2026 (Tested & Ranked) | GainFrame	11	4	7	2	0	2	7	4
	GainFrame Blog — AI Progress Photos, Body Composition & Training Tips | GainFrame	6	0	6	0	0	0	0	0
	Ideal Body Measurements for Men: The Classic Proportions Chart | GainFrame	6	0	6	0	0	0	0	0
	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	6	0	6	0	0	0	0	0
/blog/average-wrist-size/	Average Wrist Size: What It Says About Your Frame (Charts) | GainFrame	8	2	6	7	2	5	2	1
/blog/best-inbody-alternatives/	Best InBody Alternatives (2026): Scales, DEXA & AI Apps Ranked | GainFrame	24	18	6	24	17	7	13	9
/blog/why-do-i-look-fat-in-pictures/	Why Do I Look Fat in Pictures (But Not the Mirror)? | GainFrame	10	4	6	6	4	2	2	2
/blog/best-ai-body-fat-apps/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	10	5	5	0	0	0	10	5
/blog/body-recomposition-tracker/	Body Recomposition Tracker: How to Know Your Recomp Is Actually Working | GainFrame	5	0	5	5	0	5	0	0
/blog/body-transformation-tracker-apps/	Best AI Body Transformation Apps (2026): 6 Trackers Tested & Ranked | GainFrame	15	10	5	14	9	5	6	3
/blog/generative-engine-optimization-case-study/	ChatGPT Sends Us 31% of Our Users — Here's the Generative Engine Optimization Playbook We Used | GainFrame	7	2	5	7	0	7	2	1
/blog/lean-mass-vs-muscle-mass/	Lean Mass vs Muscle Mass: What's the Difference (and Why It Matters for Lifters) | GainFrame	5	0	5	5	0	5	0	0
/blog/waist-to-height-ratio/	Waist-to-Height Ratio: The Chart and Why It Beats BMI | GainFrame	5	0	5	5	0	5	5	0
	Aesthetic Physique: The Body Fat % and Proportions That Create the Look | GainFrame	4	0	4	0	0	0	0	0
	Average Waist Size for Men: By Age, Height & What It Means | GainFrame	4	0	4	0	0	0	0	0
	Shoulder to Waist Ratio: The V-Taper Math (and How to Actually Improve Yours) | GainFrame	4	0	4	0	0	0	0	0
/about/	Progress photos that explain what changed | GainFrame	6	2	4	0	0	0	3	2
/blog/aesthetic-physique-body-fat-percentage/	Aesthetic Physique: The Body Fat % and Proportions That Create the Look | GainFrame	27	23	4	24	22	2	5	7
/blog/average-bicep-size-women/	Average Bicep Size for Women: Charts & What 'Toned Arms' Takes | GainFrame	9	5	4	7	5	2	1	1
/blog/best-ai-body-fat-apps/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	4	0	4	0	0	0	2	0
/blog/best-body-scanning-measurement-apps/	Free AI Body Fat Estimator from a Photo | GainFrame	7	3	4	0	0	0	5	3
/blog/best-whoop-alternatives-for-lifters/	Best WHOOP Alternatives for Lifters (2026): 5 Options Compared | GainFrame	7	3	4	7	3	4	2	2
/blog/body-fat-percentage-quiz/	Body Fat Percentage Quiz: Estimate Yours in 2 Minutes (No Photo) | GainFrame	10	6	4	10	6	4	3	4
/blog/body-type-quiz/	Body Type Quiz: Find Yours (and What Actually Matters) | GainFrame	5	1	4	4	1	3	2	0
/blog/every-way-to-measure-body-fat/	Best Ways to Measure Body Fat in 2026 (Accuracy Comparison) | GainFrame	12	8	4	11	8	3	1	3
/blog/how-long-does-it-take-to-lose-belly-fat/	How Long Does It Take to Lose Belly Fat? A Realistic Timeline | GainFrame	5	1	4	5	1	4	2	0
/blog/methreesixty-vs-gainframe/	MeThreeSixty vs GainFrame (2026): 3D Avatar or AI Photos? | GainFrame	7	3	4	2	3	-1	0	1
/blog/spren-app-review/	Spren App Review 2026: Accuracy, Cost & Who It's Actually For | GainFrame	10	6	4	7	5	2	8	4
/blog/why-do-i-look-smaller-in-photos/	Why Do I Look Smaller in Photos Than in the Mirror? | GainFrame	11	7	4	10	5	5	4	1
/tools/	Progress photos that explain what changed | GainFrame	7	3	4	0	0	0	2	2
/tools/	What Would I Look Like If I Lost Weight? Free AI Body Transformation | GainFrame	4	0	4	0	0	0	3	0
/tools/ai-body-transformation/	Free AI Body Fat Estimator from a Photo | GainFrame	5	1	4	1	0	1	2	1
/tools/body-fat-from-photo/	Rate My Physique — Free AI Body Rater From One Photo | GainFrame	4	0	4	1	0	1	1	0
	5 Best AI Body Fat Estimator Apps in 2026 (Tested & Ranked) | GainFrame	3	0	3	0	0	0	0	0
	6 Best Body Scanning & Measurement Apps in 2026 (Tested) | GainFrame	3	0	3	0	0	0	0	0
	Best AI Personal Trainer Apps in 2026 (and the App That Tracks If They're Actually Working) | GainFrame	3	0	3	0	0	0	0	0
(not set)	5 Best AI Body Fat Estimator Apps in 2026 (Tested & Ranked) | GainFrame	3	0	3	0	0	0	0	0
(not set)	Progress photos that explain what changed | GainFrame	25	22	3	0	0	0	5	2
(not set)	Shoulder to Waist Ratio: The V-Taper Math (and How to Actually Improve Yours) | GainFrame	3	0	3	0	0	0	0	0
/	Body Fat Percentage at Each Age — Interactive Visualizer (Male &amp; Female) | GainFrame	14	11	3	0	0	0	13	11
/	Fotos de progresso que explicam o que mudou | GainFrame	3	0	3	0	0	0	3	0
/	The GainFrame Roadmap for the Next 90 Days | GainFrame	3	0	3	0	0	0	2	0
/blog/	10 Best Fitness Apps for Men in 2026 (By Goal) | GainFrame	3	0	3	0	0	0	3	0
/blog/average-chest-size/	Free AI Body Fat Estimator from a Photo | GainFrame	3	0	3	0	0	0	2	0
/blog/average-chest-size/	Progress photos that explain what changed | GainFrame	4	1	3	0	0	0	3	1
/blog/average-chest-size/	What Is FFMI? The Body Composition Metric That Actually Works for Lifters | GainFrame	3	0	3	0	0	0	3	0
/blog/best-apps-track-weight-loss-ozempic/	Best Apps to Track Weight Loss on Ozempic in 2026 (Beyond Just the Scale) | GainFrame	4	1	3	4	1	3	0	1
/blog/best-body-rating-apps/	6 Best Body Rating Apps in 2026 (Tested) | GainFrame	10	7	3	10	7	3	3	3
/blog/best-free-progress-photo-apps/	Best Free Progress Photo Apps (2026): What Actually Works Without Paying | GainFrame	24	21	3	19	20	-1	8	14
/blog/best-progress-photo-apps-android/	Best Progress Photo Apps for Android (2026): What Actually Works | GainFrame	7	4	3	6	2	4	1	1
/blog/best-progress-photo-apps/	Progress photos that explain what changed | GainFrame	4	1	3	0	0	0	4	1
/blog/body-fat-percentage-chart-women/	Body Fat Percentage Chart for Women: Photos of Every Level | GainFrame	12	9	3	12	9	3	3	6
