eventName	eventCount	totalUsers
page_view	5881	3063
session_start	3673	3055
first_visit	2946	2887
user_engagement	2840	1567
bf_tool_photo_uploaded	990	417
bf_tool_estimate_requested	916	412
scroll	674	463
bf_tool_result_shown	536	342
click	341	238
outbound_app_store_click	237	213
bf_tool_rate_limited	188	125
bf_tool_view	171	120
bfv_slider_engaged	143	130
cta_platform_alternative_click	135	118
physique_rater_requested	121	79
bf_tool_photo_unusable	102	61
bf_tool_visualizer_clicked	90	85
bt_tool_photo_uploaded	85	57
bt_tool_generate_requested	81	56
promo_film_sound_on	78	39
bf_tool_error	77	32
physique_rater_scored	74	72
bf_tool_cta_clicked	67	59
bt_tool_result_shown	48	46
promo_film_watched_75	45	38
bt_tool_unusable	18	12
bfv_cta_clicked	15	14
bt_tool_rate_limited	15	15
waist_tool_calculated	9	9
bt_tool_download_clicked	4	4
form_start	4	4
physique_rater_cta_click	4	4
bt_tool_error	3	3
bt_tool_status_failed	3	3
bf_tool_email_submitted	2	2
bf_tool_report_error	2	2
bt_tool_cta_clicked	2	2
bt_tool_download_completed	2	2
bt_tool_email_submitted	2	2
bt_tool_second_run_unlocked	2	2
bt_tool_view	1	1
file_download	1	1
