page	recent_clicks	prior_clicks	click_delta	recent_impressions	prior_impressions	impression_delta	recent_ctr	prior_ctr	recent_position	prior_position
https://gainframe.app/	783	1045	-262	4293	6121	-1828	0.18238993710691823	0.17072373795131515	4.064523643139996	3.1414801503022383
https://gainframe.app/about/	4	5	-1	451	808	-357	0.008869179600886918	0.006188118811881188	3.0177383592017737	5.641089108910891
https://gainframe.app/blog/	5	5	0	1889	2123	-234	0.0026469031233456856	0.0023551577955723034	9.626257278983589	7.503532736693359
https://gainframe.app/blog/10-pounds-fat-vs-muscle/	2	7	-5	223	973	-750	0.008968609865470852	0.007194244604316547	6.829596412556054	6.414182939362796
https://gainframe.app/blog/1000-mrr-five-months/	0	1	-1	33	82	-49	0.0	0.012195121951219513	4.878787878787879	4.2560975609756095
https://gainframe.app/blog/1500-mrr-better-problems/	0	0	0	65	0	65	0.0	0.0	7.861538461538461	
https://gainframe.app/blog/5-tips-better-progress-photos/	1	0	1	189	216	-27	0.005291005291005291	0.0	8.777777777777779	8.847222222222221
https://gainframe.app/blog/aesthetic-physique-body-fat-percentage/	25	22	3	4718	4310	408	0.0052988554472234	0.005104408352668214	7.269393810936838	7.1375870069605565
https://gainframe.app/blog/ai-body-editor-apps-vs-real-analysis/	201	142	59	6857	5945	912	0.02931311068980604	0.02388561816652649	5.797433279859997	6.642893187552565
https://gainframe.app/blog/ai-body-editor-apps-vs-real-analysis/assets/future-physique.webp	0	0	0	0	16	-16	0.0	0.0		5.375
https://gainframe.app/blog/ai-body-fat-apps-android/	24	22	2	968	646	322	0.024793388429752067	0.034055727554179564	11.894628099173554	8.828173374613003
https://gainframe.app/blog/ai-body-fat-photo-accuracy-study/	21	36	-15	4466	7261	-2795	0.004702194357366771	0.00495799476656108	7.325794894760412	6.582839829224625
https://gainframe.app/blog/ai-costs-half-my-revenue/	0	2	-2	1	41	-40	0.0	0.04878048780487805	3.0	5.487804878048781
https://gainframe.app/blog/ai-fitness-analysis/	2	3	-1	253	369	-116	0.007905138339920948	0.008130081300813009	16.948616600790515	11.306233062330623
