"project_id";"project_name";"app_id";"app_name";"first_seen_at";"last_seen_at";"last_seen_app_version";"last_seen_ip_country";"last_seen_platform";"last_seen_platform_version";"last_seen_sdk_version";"last_seen_locale";"price_experiment_id";"price_experiment_variant";"email";"phone_number";"media_source";"campaign";"ad_group";"ad";"keyword";"creative";"idfa";"idfv";"gps_ad_id";"custom_attributes";"has_made_sandbox_purchase";"latest_entitlement";"latest_entitlements";"latest_product";"is_rc_promo";"first_purchase_at";"trial_start_at";"trial_end_at";"most_recent_purchase_at";"most_recent_renewal_at";"latest_expiration_at";"subscription_opt_out_at";"trial_opt_out_at";"total_renewals";"total_spent";"latest_store";"latest_store_country";"latest_auto_renew_intent";"all_purchased_product_ids";"most_recent_billing_issues_at";"status";"has_made_a_non_subscription_purchase";"latest_offer";"latest_offer_type";"latest_purchased_offering";"latest_ownership_type";"app_user_id";"currency"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1772779102569;1773210881000;"1.0";"GB";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"en-GB,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773060948000;;;1773060948000;;1804600548000;1773060957253;;0;39.902764453941508;"app_store";"GB";"f";"com.gainframe.pro.yearly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:60450f99e04f4d18af65370d84086db2";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1772592295307;1773525432000;"1.0";"US";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773153841000;;;1773153841000;;1775832241000;1773153847099;;0;4.990000000000000;"app_store";"US";"f";"com.gainframe.pro.monthly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:0ba94a548d424f70a5f8f04170ac0b78";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773274133352;1773635413000;"1.1";"US";"iOS";"Version 26.4 (Build 23E5234a)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773274366000;1773274366000;1773879166000;1773879166000;;1776557566000;;;0;4.990000000000000;"app_store";"US";"t";"com.gainframe.pro.monthly";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:a99fa516a5824481ab2c92abd7807705";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1772604908863;1773233136000;"1.0";"CH";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"de-DE,de;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773062696000;;;1773062696000;;1804602296000;1773062704149;;0;32.002703588399150;"app_store";"CH";"f";"com.gainframe.pro.yearly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:8d633bb0e24346fca0972a722a0d9346";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773718684575;1773718704000;"1.1";"US";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773719046000;1773719046000;1774323846000;1773719046000;;1774323846000;1773822102209;1773822102209;0;0.000000000000000;"app_store";"US";"f";"com.gainframe.pro.yearly";;"cancelled_trial";"f";"Free Trial (com.gainframe.pro.yearly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:a0056320d28a431caf5c51c44ea4f285";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773423314798;1773423348000;"1.1";"RO";"iOS";"Version 18.0.1 (Build 22A3370)";"5.59.0";"ro-RO,ro;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773423500000;1773423500000;1774028300000;1773423500000;;1774028300000;1773527869597;1773527869597;0;0.000000000000000;"app_store";"RO";"f";"com.gainframe.pro.yearly";;"cancelled_trial";"f";"Free Trial (com.gainframe.pro.yearly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:99d100ebfdcf4a8782e3a3ce1b2307a8";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773619841784;1773619849000;"1.1";"IT";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"it-IT,it;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773620172000;1773620172000;1774224972000;1773620172000;;1774224972000;1773719479415;1773719479415;0;0.000000000000000;"app_store";"IT";"f";"com.gainframe.pro.monthly";;"cancelled_trial";"f";"Free Trial (com.gainframe.pro.monthly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:63f23167a51f44a1b4c4fe5762c37105";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773062222121;1773506480000;"1.0";"BO";"iOS";"Version 26.2 (Build 23C55)";"5.59.0";"en-CA,en-US;q=0.9,en;q=0.8";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773062969000;1773062969000;1773667769000;1773667769000;;1805203769000;;;0;29.162640608193104;"app_store";"CA";"t";"com.gainframe.pro.yearly";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:86a8c15eb49c499793767c873071e678";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773014814102;1773835197000;"1.1";"US";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773065528000;;;1773065528000;;1804605128000;1773065556834;;0;29.989999999999998;"app_store";"US";"f";"com.gainframe.pro.yearly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:95fd42c7041f4dce91f36391eac96e66";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773004134771;1773682978000;"1.1";"CH";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"it-IT,it;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773068202000;;;1773068202000;;1804607802000;1773068233775;;0;32.002703588399150;"app_store";"CH";"f";"com.gainframe.pro.yearly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:2dc950a2180044aea433fb0e60b82794";"USD"
